Question #,Type,Question,Sub question,Schwartzman,McLaughlin,Marshall,Hill,Silverman,McDuffie,Bonds
6g,Option,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Eliminating parking requirements in new construction,3,4,3,6,3,8,6
6h,Option,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.",Amending the building code to reduce construction costs,0,5,1,4,8,5,7
6i,Option,"_Council's land use authority is limited: The Home Rule Act states, ""The mayor shall be the central planning agency for the District,"" and councilmembers do not, generally, vote up or down on individual developments, unless they will requirepublic financing, such as tax abatements or TIFs. Councilmembers' most direct influence on land use is through theComprehensive Plan, though they cannot change that unless amendments are proposed by the mayor. However, the council can still act to increase housing production, whether through legislation and budgeting, or by directing the executive to pursue amendments before the zoning commission._ Please rank the policies that would increase housing production in the order that you would request your staff to pursue them, if elected.","Legalizing and incentivizing housing above public facilities, suchas libraries, rec centers, and fire stations",0,6,7,9,1,3,4
7,Text,Where in the District do you think new housing should be built?,,Renovating vacant property,"EVERYWHERE. We should especially encourage increased density near transit hubs and affordable housing in wealthier areas of the city that currently have a lower percentage of it and historically have had policies of de facto racial segregation. There’s also significant opportunity to better utilize publicly owned or partially controlled parcels, and to use zoning changes to partner with faith institutions and other non-profits to enable increased housing production. Lastly, with commuters decreasing during COVID and working from home appearing to be a long term trend, attracting more residents to the city, and enabling them to have the housing to live here, is an important component of ensuring a strong long term tax base to fund social programs. Density across the city (with a mix of both affordable and market rate) is also what’s needed to provide the foot traffic required to support a thriving local economy, grocery stores, and local retailers. We should use every tool at our disposal, including but not limited to zoning changes and lot size requirements, to cultivate production of housing across the District (and, where possible, in partnership with the broader region).","I think we should build new housing in all parts of the District. We must create communities where every resident has access to recreation, grocery, and educational services within a ten-minute walk. I believe that if we build in a coordinated manner and maximize use of brownfield and infill space we can do so in a way that preserves the general character of neighborhoods, but also produces enough in housing to take pressure off of supply and accommodate our growing population. Supplement to Q6:The District needs a comprehensive revision of our approach to housing policy. Despite the above ranking I would pursue these policies in concert. To be successful in a transaction as complicated as constructing a multi-unit, mixed-use building requires that the regulatory and financial landscape be stable and predictable. The iterative approach that the Council has taken in housing policy has created an unpredictable development landscape which only serves to increase risk and thereby increase costs. I would reform the whole landscape at a single stroke. I believe that increased density should be available in all neighborhoods but should be done in a way to avoid drastically altering the character of a neighborhood. We still have a significant number of brownfield, infill space, and vacant homes that can be activated Eliminating parking requirements should be based on the relative density of the neighborhood, access to reliable and proximate public transportation, and whether the neighborhood is adequately served by recreation, grocery, and educational services. The Height Act severely restricts the three-dimensional space within which we can construct housing in the District. However, this is not currently within the power of the DC Council to change. Section 602(a)(6) of the Home Rule Act prohibits the DC Council from enact[ing] any act, resolution, or rule which permits the building of any structure within the District of Columbia in excess of the height limitations contained in section 5 of the Act of June 1, 1910 [An Act To regulate the height of buildings in the District of Columbia (36 Stat. 453)] (D.C. Code, sec. 5-405)[ D.C. Official Code ' 6-601.05], and in effect on the date of enactment of this Act [December 24, 1973]. While Amending or Eliminating the Height Act would be the most impactful action we could take as a jurisdiction, it is also the strategy that is least within our current control. However, I would use every tool available to a Councilmember to lobby Congress to provide this authority to the Council and to pursue Statehood so we can control our own destiny.","I think new housing should be built in areas where the land use and access to public transportation is in great quantities. Where the land does not possess contaminated soil and there is at least some green spaces. I think they’re placing housing in spaces that are naturally visited by a huge number of visitors like museums, library‘s, stores is also a great idea as long as the height of the space does not remove the topography.","I think new housing needs to be built across the city. A few additional thoughts: We need to PRESERVE whatever market-rate affordable housing we have right now. We cannot afford to lose any more. And we need affordability most in our most affluent areas, such as Rock Creek East and West. If we are going to have socio-economically diverse classrooms, which all studies show are the most optimal and successful, we need to have diverse neighborhoods.","We cannot solve our severe housing shortage in just one area of the District. New housing should be built across the entire city, with a particular focus on the placement of new affordable housing. I support the Executive’s efforts to develop targets to make the distribution of new housing less uneven and more equitable, especially in areas of the city like Rock Creek West and Near Northwest. We should continue to pursue this strategy while also advancing efforts to add housing supply near large swaths of land such as at the McMillan site.","In general, new housing should be spread across the city. Areas designated as Rock Creek East and Rock Creek West, along with large plots of land, including Old Soldiers' Home and RFK, are potential sites of new housing development. They could be developed similar to the manner in which we are treating the development of the Walter Reed campus.By increasing neighborhood density, like we have done in Fort Totten, we can create a housing environment that people want. Also, we can explore building more townhomes downtown, and work on converting commercial buildings into condominiums and co-ops.We must create a vibrant living environment by including green spaces as a part of any development plan needs to include basic amenities, like quality grocery stores and restaurants."
8,Text,Where in the District do you think density should be increased to accommodate the construction of new housing?,,I do not think density should be increased in the District,"EVERYWHERE. Many publicly owned sites could be utilized for high density residential or mixed-use developments, especially near transit hubs. Legalizing two and four-unit buildings across the District would create opportunity in more residential neighborhoods, as would, to a lesser extent, incenting production of ADUs (if required to use for long-term tenants). Creating more “by right” opportunity and reduced parking requirements would streamline development and lower costs, enabling greater density and affordability across the city. I would encourage greater market rate development in areas with food and retail deserts, and a higher rate of affordable housing in Rock Creek West and other higher-wealth areas with lower percentages of affordable housing.","I believe that density should be increased in the central business district first and around METRO stations as they already have the supporting infrastructure to accommodate high density use. As PEPCO expands the utility undergrounding program (PLUG), the corridors that are undergrounded should be the next priority for increased residential and commercial density. This must be combined with a strategic expansion of safe and consistent multimodal transportation infrastructure to reduce the reliance on automobiles in these corridors.",I do not think density should be created in the district.,"I think low hanging fruit is to put density in our commercial corridors near Metro and good public transportation, as well as in areas in which our schools have capacity for an influx of residents. I am not a fan of subdividing single family homes into multiple units because we lose those single family homes. I do think that we can have apartment buildings amidst single family homes. My block on Capitol Hill, for example, has several multiunit buildings even though the majority of the block consists of single family homes.","Density can and should be increased around transit-oriented corridors. This can also maximize the opportunity to build new housing near places with access to public transportation, schools, and public amenities such as libraries, parks, and medical facilities. These factors have been shown to lead to better life and health outcomes for residents. In order to increase density and pursue our goal of making the distribution of new housing less uneven geographically, I would pursue zoning changes to better facilitate the construction and placement of multifamily housing.Additionally, I worked with my colleagues to pass legislation that will provide clarity around the Planned Unit Development (PUD) process in the Comprehensive Plan Framework. We will be able to use this process as a vehicle to ensure community input and benefits in exchange for additional housing density, especially on large projects.","Examples regarding increased density are provided above in our response to question 8, but we can also identify certain neighborhoods that are currently zoned for low-density and change them to medium-density where possible.We can also explore repealing the Height Act in areas on the periphery of the city in order to increase our affordable housing stock."
9,Text,"_Aside from converting office buildings to residential or paying building owners to place affordability covenants on units,_ what is your preferred approach to address the District's housing shortage at all income levels? What parts of your preferred approach fall under the authority of the council?",,"Social housing and community land trusts, see B24-0802","As discussed in previous questions, increase production and density everywhere. Make two and four-units legal everywhere. Create more “by right” zoning and bonus density opportunities. Remove height and mass from historic review. In cases where unable to do this through Council action, partner to amend the comprehensive plan to encourage increased density, including bold actions like lifting restrictions on multifamily housing across all parts of the city, eliminating parking minimums, and requiring DCRA to provide permits and inspections within 60 days or the District would automatically grant the applicant the right to move forward.I agree with some of the work being pushed forward by CM Nadeau and others requiring 30% of new housing on public land to be affordable, and extending this mandate to land owned by WMATA, DC Water, DC Housing Authority, and other quasi-governmental organizations.Lastly, I would introduce a Community Opportunity to Purchase Act (COPA) as part of a broader commitment to preserve affordable housing. With some changes to TOPA and introduction of COPA, we could create an environment where tenants or community organizations are actually purchasing properties through these programs, and by streamlining the decision we could reduce the transaction costs and time to sale in a way that would increase overall affordability in the broader market.","There is simply not enough housing in the District. We have a housing shortage because of a failure to develop a plan to build enough housing at all income levels, a needlessly duplicative and bureaucratic administrative state, and a failure to put as many available properties into productive use exacerbated by a tax and probate system that robs Black families of generational assets. To reverse this trend, as a Councilmember, I would implement the following:Require and adequately resource the Executive to truly consolidate application methods so there is a single point of contact for all building applications instead of requiring submission of information through separate “applications” through DCRA/Dept of Buildings, DOEE, DDOT, and various utilities.Aggressively use the tax code to encourage banks to liquidate their holdings of foreclosed residential properties and discourage speculative paper transfers.Proactively work with the local and national Bar Associations, law professors, the courts, the executive, and local stakeholders to reform Titles 18-20 of the DC Code to enable to preservation of generational wealth in the form of houses for Black and brown families and low-income families that may own property, but have challenges with liquidity or lack of access to legal counsel.Provide property tax relief to anyone on a fixed income above the age of 65 who lives in a high poverty census data tract.There are at least ten thousand vacant lots and abandoned houses in the District of Columbia. Building on this infill space and rehabilitating these parcels/units would provide a unique opportunity to house families while preserving the generational wealth of Black families.","I believe that accessibility is different from affordability so the question will be answered like this. Affordability based on the current AMI keep certain individuals from accessing housing. I don’t believe that current housing programs rather it is housing choice voucher or or inclusionary zoning solves the “affordability” problem. If you convert an office building into residential space someone will have to incurred the cost for the new “affordability and access” of certain DC residents who make $15 per hour. There is more that needs to be addressed or asked here.The parts of my preferred approach that fall under the authority of the Council, is the part that said, “However, the Council can still act to increase housing production, whether through legislation in budgeting, or by directing the executive to pursue amendments before the zoning commission.”","1. We need to get the DC Housing Authority back on its mission of providing safe housing to low income families. This means maintaining the current housing and crafting a redevelopment plan that makes 0-30% AMI families the centerpiece. Many DCHA communities are low density and the trick is to PRESERVE community but increase density and affordability.2. Use Housing Production Trust Fund strategically. Let's not put 80% AMI dollars toward projects in which market rate is 80% AMI! That is a bad use of our subsidy!3. Preservation, preservation, preservation. We need to preserve the market rate affordability we have now. Don't lose it!4 Let's look at community land trusts, shared equity deals, etc.","My preferred approach is to leverage all the tools that the government has available to create and incentivize housing production at all income levels. I authored and the Council unanimously passed legislation to establish affordable housing set-aside requirements when District-owned land is being disposed for the development of multi-family residential projects. I will continue to leverage the government’s ability to require set-asides on publicly owned land, including by exploring an increase to the percentage of affordable housing required in public-land dispositions. This can be accomplished through Council legislation.The Council also has oversight responsibilities and makes the final allocations for the District’s fiscal year budgets. I have already co-introduced legislation to make the Housing Production Trust Fund funding decisions more transparent in an effort to maximize the number of affordable units created with government resources. Similarly, with Chairman Mendelson and then-Mayor Gray, I authored and the Council incorporated into the budget legislation to require that half of the annual District surplus go to the Housing Production Trust Fund. I will continue to find creative ways to provide District funding to address our housing needs.Finally, I will also work with government partners in the private sector to draft legislation that will make homeownership opportunities more affordable for District residents and families.",I would like to utilize some of the vacant units in newly constructed buildings to provide housing for those in dire straits. I would also like for the city to explore the purchase of the condemned/blighted properties that are subject to the OTR Tax Sale and converting them into housing.
10,Rank,I consider affordable housing to be...,,,,,,,,
10a,Option,I consider affordable housing to be...,Means-tested or income-restricted,,1,1,,,1,1
10b,Option,I consider affordable housing to be...,Subsidized,1,1,,1,,1,1
10c,Option,I consider affordable housing to be...,Costing no more than 30 percent of one's household income,1,1,1,1,1,1,1
10d,Option,I consider affordable housing to be...,Built by the government,1,,1,,,,
10e,Option,I consider affordable housing to be...,Rent-controlled,1,1,1,1,,1,
10f,Option,I consider affordable housing to be...,Cheap,,,1,,,,
11,Rank,I consider market-rate housing to be...,,,,,,,,
11a,Option,I consider market-rate housing to be...,Not means-tested or income-restricted,,1,,1,,1,1
11b,Option,I consider market-rate housing to be...,Built by private developers,1,,1,1,,,1
11c,Option,I consider market-rate housing to be...,Unsubsidized,1,1,,1,,1,
11d,Option,I consider market-rate housing to be...,Not rent-controlled,1,1,1,1,,1,
11e,Option,I consider market-rate housing to be...,Expensive,1,,,1,,,
11f,Option,I consider market-rate housing to be...,Costing more than 30 percent of one's household income,1,,,1,1,,
12,Text,"_The D.C. Housing Authority is an independent entity, and its debt is likely too great for it to realistically be moved under the purview of the District government. Given this,_ how would you, as a councilmember, answer calls to “fix” publichousing?",,"District government should maximize its contribution by shifting its housing budget from subsidizing luxury/market rate housing to public and social housing, along with tax hikes on the big corporate/developer sector which has received big tax cuts from the Trump federal legislation.","I would answer the call in three ways:1) Ask questions on whether are housing dollars are being allocated most effectively to deliver the most affordable units in the quickest amount of time- Preservation is a much more cost effective way of providing affordable housing vs. production. Whatever number as a government we decide to invest in housing, should the vast majority go to the Housing Production Trust Fund, or should we be investing more deeply into preserving affordable public housing instead? This and other similar questions aimed at ensuring we are effective stewards of taxpayer dollars by taking the actions that create the highest number and highest quality of affordable units are what I would be asking as a Councilmember2- DCHA should be accountable to its residents, not just to its Board- We need greater resident voice on how DCHA funds are used, and we need resident voices as a core part of the budget analysis on where to best spend our resources allocated for affordable housing.3- Ensure DCHA/repair investments yield results through aligned incentives- If we do invest more in DCHA/public housing repairs, we should look into smart contracting and other means of ensuring repairs are effectively provided. We could also look to a modified European model of rent control. In their model, pricing is stabilized but tenants are responsible for upkeep. In DCHA’s case, in DC we could pilot an opportunity for residents to share in savings if DCHA’s repair costs are lower than anticipated in a fiscal year as a way of aligning incentives for upkeep.","Since the Faircloth limit was imposed, the federal government has steadily decreased the financial support provided to Public Housing Authorities (PHAs) across the country. However, there are financing tools which have successfully allowed PHAs to convert public housing sites into successful higher-density, mixed-income communities while preventing displacement. For example, the Faircloth to RAD Conversion program provide an enhanced tool to access private funds while preserving or even expanding public housing units. As a Councilmember, I would encourage DCHA to expand the use of this tool using neighboring PHAs as a blueprint (Richmond, VA).While absorbing DCHA would likely exhaust our Debt Cap, the situation is so critical and the deficits so severe that the Executive should be encouraged to formally share services and staff with DCHA to fill gaps in expertise and headcount. The Executive has existing authority to detail staff, and as a Councilmember I would support an initiative of the Executive to deploy a team of highly skilled and experienced staff to supplement the efforts of the DCHA. In addition to public employees, I would encourage robust public-private partnerships for DCHA. A temporary and targeted deployment would provide an infusion of effort and be used to close the backlog of maintenance requests, provide an actionable development plan to modernize and transform facilities, and help improve the management of the Authority.","I would go to the people who are currently residing there and ask them this very question, use the date obtained and try as much of thesolutions they share to “fix” the issues that currently exist. Being an independent entity gives DCHA the power to use what they have to get what they don’t have and that’s more voices of the people that live in their housing spaces.","First of all, we need honest, transparent leadership. That would be a good start. We need a board that is truly independent and focused on the authority's mission to provide 0-30%AMI housing, not beholden to DMPED, John Falcicchio, and Mayor Bowser. We need to get housing residents to trust us by doing the necessary repairs to maintain current housing stock. And we need to work with them on redevelopment plans that include them, not exclude them.","Everyone deserves to live in safe, quality housing but the historic federal disinvestment in public housing impedes the ability of many District families to do so. The resulting poor housing conditions were only exacerbated by the pandemic. I would support federal legislation calling for the repeal of the Faircloth Amendment, which currently limits the construction of new public housing from being built nationwide. Similarly, I would commit to holding a hearing on the Green New Deal for Housing Amendment Act of 2022, which is sequentially referred to my committee. This bill would establish the creation of public-owned social housing developments.I would also work with my colleagues to provide additional investments in public housing repairs and tenant-based voucher assistance for families who seek housing on the private market.","The ""fix"" that we need is to repair and to upgrade our current public housing stock. The cost of housing continues to escalate, and ourlow-income families need to be accommodated. Public housing is one of the resources that we have at our disposal.The government does not have the $2 to $3 billion needed to completely revamp public housing units, and we not longer have the federal subsidy; HUD has stopped providing that. We need to look at public-private partnerships and look to making the public housing complexes more mixed-income."
14,Text,"How will you ensure that the District produces housing for residents who make between 50 percent AMI ($45,150 for ahousehold of one) and 80 percent AMI ($72,250 for a household of one)?",,"Promoting social housing using DOPA, and establishing a DC Public Bank.","The biggest challenge with this band is that development is not prioritized or invested in as diligently as deeply affordable. Therefore, a major way to keep this income band is preservation and conversion of existing units into affordable (especially in highest cost neighborhoods). An additional change I would explore, but that would be more challenging to bring to fruition, would be creating workforce housing partnerships with employers that would provide private investment to fund benefits to workers at this AMI level (and potentially 80-120% as well) that would create the right operating cost economics for enhanced development at this AMI level. Overall though, this is simply a prioritization issue from HPTF and public land development on where to allocate subsidies for development.","As a Councilmember, I will work with my colleagues to ensure District land is maximized for residential use while preserving access to the natural environment and incentive the construction of housing. This means using District land to test innovative strategies such as social housing and buildings which enable high-quality co-living. This also means making sure the government is not a barrier to construction by eliminating unnecessary regulatory hurdles for projects. I would work with my Council colleagues and the Executive to streamline and consolidate application requirements and reduce the fees associated with projects that include units above the baseline affordability required under law. This incentive based IZ+ approach would grant any projects which are consistent with our more ambitious housing goals an expedited review, lower fees, and preferred access to the locally funded financing mechanisms (HPTF, HFA loans, etc.) to make the projects more financially attractive.",I would introduce legislation that would create a law that would mandate it. I would also make certain that the industries that hire our hard-working individuals are paying salaries the meet the AMI minimums.,By using Housing Production Trust Fund dollars in parts of the city where 50 or 80% AMI is not market-rate. And it's not just AMI levels--we need multi-bedroom units for families.,"Primarily through the oversight and legislative functions available to me as a Councilmember. I would also work with the Executive when necessary to ensure that we are working in collaboration to meet the District’s housing needs for residents who make between 50and 80 percent AMI. As mentioned earlier, I will also maximize the government’s ability to require affordable units in public-land dispositions and innovative ways to incentivize and pay for housing production, as I did in requiring that half of the annual District surplus go to the Housing Production Trust Fund. This includes providing more investment to project-based LRSP. I would also explore removing zoning restrictions on multifamily housing units to produce more housing in areas of the city where housing for this income level is more scarce. I will also work with government partners in the private and nonprofit sectors (via legislation or other innovative ways) to make homeownership opportunities more affordable for District residents and families, across all income levels.",I want to identify units in market rate buildings that can be exchanged for tax abatements.
15,Text,"How will you ensure the District produces housing for residents who make between 80 percent AMI ($72,250 for ahousehold of one) and 120 percent AMI ($108,350)?",,"Promoting social housing using DOPA, and establishing a DC Public Bank.","Many times, Councilmembers and housing advocates will push for 80-120% AMI to be the lowest production, but I take a slightly different view. Production at this band lets us know if increased density and housing production efforts are working. If we can create production at this level with very limited to no subsidies then we are beginning to stabilize on market rate housing being level with AMI. We do this by enabling housing production increases at the lowest possible cost. We legalize two and four-unit buildings across the District. We partner with faith institutions on zoning changes to enable them to build affordable housing on their land. We create more “by right” opportunities. We make construction cheaper by reducing bureaucratic friction and reducing parking requirements. Longer term, we update the comprehensive plan to enable increased building (with support structures in place to ensure the required improvement and growth in infrastructure keeps up with production). Creating opportunities to increase overall supply helps us produce at this level.","Workforce housing would require a similar set of incentives as 50-80% AMI, however, I would supplement those efforts with more robust homeownership programs that improved accessibility and preserve affordability for new homeowners. First, for any locally funded home purchase assistance program, I would revise the eligibility criteria for the program to provide an allowance for any debt that is not dischargeable under 11 USC §523 particularly student loan debt. I believe the homestead exemption and senior citizen exemptions should be programs which automatically enroll participants instead of requiring recipients to affirmatively apply.",I would work with the developers and look at current legislation to see how we can enforce the power that the Council already has.,"Again, we need to be strategic about our trust fund dollars for 80% AMI and leverage other partnerships such as the Washington Conservancy","Primarily through the oversight and legislative functions available to me as a Councilmember. I would also partner with the Executive when necessary to ensure that we are working in collaboration to meet the District’s housing needs for residents who make between 80and 120 percent AMI. As mentioned earlier, I will also maximize the government’s ability to require affordable units in public-land dispositions and innovative ways to incentivize and pay for housing production, as I did in requiring that half of the annual District surplus go to the Housing Production Trust Fund. I would also explore removing zoning restrictions on multifamily housing units to produce more housing in areas of the city where housing for this income level is more scarce. I will also work with government partners in the private and nonprofit sectors (via legislation or other innovative ways) to make homeownership opportunities more affordable for District residents and families, across all income levels.",This answer is very similar to my answer to number 14.I want to identify units in market rate buildings that can be exchanged for tax abatements. We can reduce taxes for the developers in order to incentivize the production of more units.
16,Choice,"_While the District has a robust Housing Production Trust Fund, it is not infinite, and land costs in the District impact the number of affordable units that can be constructed, as well as the percentage of MFI to which they are subsidized. The below scenarios are not inclusive of all options that will ever be on the table. They are, however, representative of the tradeoffs inherent in balancing funding for and the location of publicly subsidized affordable housing, which is often cross-subsidized with market-rate housing._ Please choose the housing scenario you would prefer and explain why you prefer that scenario.",,"One 10-unit project in Forest Hills for residents makingunder 30 ($27,100) AMI, and one 40-unit market-rateproject in Bellevue","One 30-unit project in Forest Hills for residents makingbetween 60 ($54,200) and 80 ($72,250) percent MFI, andone 20-unit market-rate project in Bellevue","One 25-unit project each in both Bellevue and ForestHills, for residents making between 80 ($72,250) and 120percent ($108,350) MFI","One 25-unit project each in both Bellevue and ForestHills, for residents making between 80 ($72,250) and 120percent ($108,350) MFI","One 30-unit project in Forest Hills for residents makingbetween 60 ($54,200) and 80 ($72,250) percent MFI, andone 20-unit market-rate project in Bellevue","One 30-unit project in Forest Hills for residents makingbetween 60 ($54,200) and 80 ($72,250) percent MFI, andone 20-unit market-rate project in Bellevue","One 30-unit project in Forest Hills for residents makingbetween 60 ($54,200) and 80 ($72,250) percent MFI, andone 20-unit market-rate project in Bellevue"
